,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingAtt,PassingCmp,PassingYds,PassingTD,Int
0,Josh Allen,BUF,QB,0,0,0,5.1,110.8,519.6,7.6,605.2,400,4566.2,33.7,13.3
1,Patrick Mahomes II,KC,QB,0,0,0,2.5,55.3,267.2,2.9,630.5,419,5028,38.5,9.1
2,Kyler Murray,ARI,QB,0,0,0,3.7,125.8,698.8,7.7,591,391.4,4215.8,26.7,12.9
3,Lamar Jackson,BAL,QB,0,0,0,4,152.9,920.2,6.7,462.1,296.3,3377.8,28.6,12.2
4,Dak Prescott,DAL,QB,0,0,0,4.2,63.4,296.5,4,623.3,416.3,4847.8,31,11.1
5,Aaron Rodgers,GB,QB,0,0,0,3.1,41,174.1,1.9,571.7,385.6,4448,36.8,7.2
6,Russell Wilson,SEA,QB,0,0,0,3.5,82.8,447.2,2.1,569.9,380.1,4242.9,34.4,12.3
7,Justin Herbert,LAC,QB,0,0,0,2.6,61.2,272.9,4.4,616,400,4581.5,30.5,12
8,Tom Brady,TB,QB,0,0,0,2.2,24.5,31.7,2.1,621.2,404.4,4694.6,37.1,11.9
9,Ryan Tannehill,TEN,QB,0,0,0,2.9,51.8,229.5,3.5,527.7,348.9,4121.3,30.5,10.5
10,Jalen Hurts,PHI,QB,0,0,0,4.8,133.8,691,5.7,540,330,3728.2,22.4,14.4
0,Christian McCaffrey,CAR,RB,93.8,760.1,4.3,2.5,297.1,1301.6,12,0,0,0,0,0
11,Joe Burrow,CIN,QB,0,0,0,4.2,54.1,227.4,3,612.6,400.2,4317.2,26.5,11.8
12,Matthew Stafford,LAR,QB,0,0,0,3.2,33.3,126.4,0.7,613,405.9,4570.2,28.2,11.5
1,Dalvin Cook,MIN,RB,54.9,473.3,2,2.9,317.5,1491.6,13,0,0,0,0,0
13,Kirk Cousins,MIN,QB,0,0,0,4.1,35.4,114.4,1.1,541.6,364,4272,30.1,13
14,Trevor Lawrence,JAC,QB,0,0,0,5.2,66.9,341.7,2.3,589.4,377,4123.8,24.7,13.5
2,Derrick Henry,TEN,RB,23.8,178.6,1.1,2.7,343,1703.2,14.2,0,0,0,0,0
15,Matt Ryan,ATL,QB,0,0,0,4.3,32.7,117.4,1.4,613.7,400.9,4508.6,26.8,13
16,Baker Mayfield,CLE,QB,0,0,0,3.3,44.1,168.1,1.8,536.7,342.6,3943.4,27.9,11.4
17,Derek Carr,LV,QB,0,0,0,5.2,30.4,106.9,1.8,564.9,374.4,4309.4,26.4,10.9
18,Tua Tagovailoa,MIA,QB,0,0,0,1.7,54.4,205.9,2.7,574.1,373.8,3942.3,25.6,13.5
19,Ryan Fitzpatrick,WAS,QB,0,0,0,2.3,50.8,245.1,3,582.6,385.2,4116.8,23.4,16.6
20,Ben Roethlisberger,PIT,QB,0,0,0,2.2,20.9,45,0.5,617.4,400.3,4173,29.5,14
21,Daniel Jones,NYG,QB,0,0,0,8.5,70.3,403.2,2.6,546.8,342.3,3748,22.4,13.6
22,Sam Darnold,CAR,QB,0,0,0,3.9,50.3,219.8,3.3,556.1,350.6,3920.8,22,15
23,Trey Lance,SF,QB,0,0,0,4,77.2,391.5,3.2,436.8,283.9,3291.5,21.2,11.5
24,Zach Wilson,NYJ,QB,0,0,0,5.5,65.8,311.6,2.3,547.5,343.8,3861,21,15.7
3,Alvin Kamara,NO,RB,81,688.6,3.5,1.9,206.9,941.4,9.7,0,0,0,0,0
25,Jared Goff,DET,QB,0,0,0,4.2,39.9,89.3,1.7,579.6,371.3,4157.8,22.5,14.9
0,Tyreek Hill,KC,WR,100.2,1436.2,12.3,0.7,12.9,82.4,0.8,0,0,0,0,0
4,Jonathan Taylor,IND,RB,42.1,321,1.6,1.9,270.7,1255.3,10.9,0,0,0,0,0
5,Nick Chubb,CLE,RB,28.8,225.5,1,1.9,273.5,1371.7,11.1,0,0,0,0,0
26,Justin Fields,CHI,QB,0,0,0,5,69.7,348,2.8,467.6,298.5,3200.6,20.1,11.2
6,Saquon Barkley,NYG,RB,55.9,433.8,2,1.8,266,1203.3,9.1,0,0,0,0,0
7,Ezekiel Elliott,DAL,RB,52.8,393,2.4,2.9,281.8,1209.4,9.5,0,0,0,0,0
8,Aaron Jones,GB,RB,50.6,391.4,2.7,2.1,231.8,1123.5,10.3,0,0,0,0,0
1,Davante Adams,GB,WR,122.5,1462.6,12.8,0.8,0,0,0,0,0,0,0,0
27,Carson Wentz,IND,QB,0,0,0,5.7,53.8,235,2.6,468.5,293,3213.9,21.4,11.4
9,Joe Mixon,CIN,RB,50.4,368.5,2.9,2,274.8,1157.2,8.1,0,0,0,0,0
10,Najee Harris,PIT,RB,49.3,365.2,2.2,2.6,260.1,1141.5,8.5,0,0,0,0,0
11,Antonio Gibson,WAS,RB,45.2,328.4,1.4,2.1,242.6,1086.5,9.7,0,0,0,0,0
2,Stefon Diggs,BUF,WR,113.6,1476.6,9.2,1.2,2.4,15.6,0.1,0,0,0,0,0
12,Austin Ekeler,LAC,RB,79.3,684.4,4.6,1.6,178.2,810.6,4.7,0,0,0,0,0
0,Travis Kelce,KC,TE,112.4,1399.3,10.2,0.8,0,0,0,0,0,0,0,0
3,Calvin Ridley,ATL,WR,99.8,1422.3,8.8,0.8,4.6,26.1,0.1,0,0,0,0,0
13,Clyde Edwards-Helaire,KC,RB,50.6,389.5,2.2,1.8,222,998.8,7.3,0,0,0,0,0
28,Deshaun Watson,HOU,QB,0,0,0,2,48.5,229.3,2.6,333.9,227.9,2721.8,16,7.4
14,Chris Carson,SEA,RB,43.4,321.4,2.4,2.1,230.5,1055.6,7.4,0,0,0,0,0
15,J.K. Dobbins,BAL,RB,31.8,241.1,1.2,1.6,212,1076.3,9.4,0,0,0,0,0
16,David Montgomery,CHI,RB,39.4,312.2,1.6,2,253.5,1061.2,7.9,0,0,0,0,0
4,DeAndre Hopkins,ARI,WR,122.1,1468.3,7.7,1.5,0.9,4.4,0,0,0,0,0,0
17,Josh Jacobs,LV,RB,31.5,236.5,0.9,2,251.2,1073.2,9.5,0,0,0,0,0
18,Miles Sanders,PHI,RB,40.7,333.8,1.7,1.8,223,1067.6,6.8,0,0,0,0,0
5,D.K. Metcalf,SEA,WR,86.6,1300.7,9.9,1.4,0.3,1.3,0,0,0,0,0,0
19,Darrell Henderson,LAR,RB,32.4,270,1.6,1.8,237,1032.2,8.2,0,0,0,0,0
6,Justin Jefferson,MIN,WR,93.5,1391.7,7.9,0.8,0.4,1.5,0,0,0,0,0,0
29,Cam Newton,NE,QB,0,0,0,1.8,81.7,354.2,5.7,303.6,198.4,2188,12.7,9.6
7,A.J. Brown,TEN,WR,84.5,1268.4,9.8,0.9,0.5,7.5,0,0,0,0,0,0
20,D'Andre Swift,DET,RB,58.7,435.2,2.1,2.3,189.9,843.7,7.7,0,0,0,0,0
30,Jameis Winston,NO,QB,0,0,0,3.9,38.1,160.8,0.9,383,248,2790.2,18.9,12.7
8,Keenan Allen,LAC,WR,111.3,1209.3,7.9,1,3,16.3,0.1,0,0,0,0,0
9,Mike Evans,TB,WR,76.1,1114,9.4,0.7,0,0,0,0,0,0,0,0
21,Mike Davis,ATL,RB,48.8,311.4,1.7,1.9,221.8,877.3,6.5,0,0,0,0,0
10,Allen Robinson II,CHI,WR,98.6,1227.7,7,0.7,0.3,0.3,0,0,0,0,0,0
11,Terry McLaurin,WAS,WR,91.6,1235.2,6.5,0.7,1.8,12.1,0.1,0,0,0,0,0
12,Amari Cooper,DAL,WR,90.4,1195.9,7.2,0.7,2.6,11.7,0,0,0,0,0,0
13,Robert Woods,LAR,WR,98,1088.2,6,0.8,17,106.2,0.9,0,0,0,0,0
14,Adam Thielen,MIN,WR,79.5,1021,9.2,0.7,3.2,14.6,0.3,0,0,0,0,0
1,George Kittle,SF,TE,96.6,1204.5,6.6,0.7,0,0,0,0,0,0,0,0
22,Chase Edmonds,ARI,RB,51.6,378.6,2.9,1.5,169,753.1,5,0,0,0,0,0
15,CeeDee Lamb,DAL,WR,83.9,1090.4,6.6,0.8,8.4,61.2,0.6,0,0,0,0,0
2,Darren Waller,LV,TE,100.3,1144.8,7.1,0.9,0,0,0,0,0,0,0,0
17,Julio Jones,TEN,WR,78.7,1115.2,7.3,0.7,0.5,-0.5,0,0,0,0,0,0
16,Tyler Lockett,SEA,WR,92.4,1051.3,8.3,0.7,1.1,2.7,0,0,0,0,0,0
23,Myles Gaskin,MIA,RB,43.2,338.2,1.8,1.9,189.8,805.1,5.4,0,0,0,0,0
18,D.J. Moore,CAR,WR,83.2,1198.8,5.4,0.8,3.1,20.1,0.1,0,0,0,0,0
19,Cooper Kupp,LAR,WR,93,1068.4,7.1,0.7,3.9,23.6,0.1,0,0,0,0,0
20,Chris Godwin,TB,WR,82.1,1067.8,7.5,0.8,0.3,2,0,0,0,0,0,0
24,Kareem Hunt,CLE,RB,39,314,2.5,1.3,155.7,689.4,5.6,0,0,0,0,0
21,Courtland Sutton,DEN,WR,74.3,1055.4,6.7,0.8,1.7,9.4,0,0,0,0,0,0
25,Travis Etienne,JAC,RB,61.5,487,2.4,1.9,135.9,606.9,4,0,0,0,0,0
24,Tee Higgins,CIN,WR,79.2,1058.4,6.4,0.8,2.3,12.4,0,0,0,0,0,0
23,Odell Beckham Jr.,CLE,WR,71.1,994,6.5,0.7,5.7,50.9,0.3,0,0,0,0,0
22,Kenny Golladay,NYG,WR,71.3,1055.9,6.6,0.7,0,0,0,0,0,0,0,0
26,Damien Harris,NE,RB,11.5,87.7,0.3,1.4,212.3,998.9,5.9,0,0,0,0,0
27,Raheem Mostert,SF,RB,23.9,207,1.3,1.4,158.4,787.5,6.3,0,0,0,0,0
25,Ja'Marr Chase,CIN,WR,73.2,1058.2,6.1,1.2,1.5,8.2,0,0,0,0,0,0
0,Harrison Butker,KC,K,0,0,0,0,0,0,0,0,0,0,0,0
26,Brandon Aiyuk,SF,WR,72.1,915.2,6.3,0.7,14.6,82.4,0.7,0,0,0,0,0
1,Justin Tucker,BAL,K,0,0,0,0,0,0,0,0,0,0,0,0
28,Javonte Williams,DEN,RB,25.9,202.7,1.1,2,188.2,835.2,5.5,0,0,0,0,0
29,James Robinson,JAC,RB,30.4,217.4,1,1.5,183.3,801.5,5.6,0,0,0,0,0
27,Chase Claypool,PIT,WR,69.6,892.2,6.8,0.9,8.3,44.3,0.6,0,0,0,0,0
28,Diontae Johnson,PIT,WR,93.9,981.1,6.3,1.4,4.4,27.4,0.1,0,0,0,0,0
29,Brandin Cooks,HOU,WR,75.2,1050.9,5.3,0.7,0.8,6.8,0,0,0,0,0,0
31,Drew Lock,DEN,QB,0,0,0,2.9,34.7,136.7,1.3,319.7,188,2154.3,13.5,9.9
30,D.J. Chark Jr.,JAC,WR,72.7,969.1,6.2,0.6,0.3,3.3,0,0,0,0,0,0
3,Mark Andrews,BAL,TE,70.6,853.9,8.2,0.9,0,0,0,0,0,0,0,0
2,Tyler Bass,BUF,K,0,0,0,0,0,0,0,0,0,0,0,0
3,Greg Zuerlein,DAL,K,0,0,0,0,0,0,0,0,0,0,0,0
32,Taysom Hill,NO,QB,0,0,0,3.4,74.5,390.3,4.5,183.4,122.4,1282.4,7.6,4.9
31,Deebo Samuel,SF,WR,70.5,898.5,4.7,0.8,13.5,99.2,0.7,0,0,0,0,0
32,Robby Anderson,CAR,WR,80.4,991.3,5.2,0.8,2.5,12.3,0.1,0,0,0,0,0
33,Tyrod Taylor,HOU,QB,0,0,0,1.1,30.2,142.5,1.2,281.3,172.7,1959.6,10.3,5.3
33,JuJu Smith-Schuster,PIT,WR,89.3,902,6.7,0.9,0,0,0,0,0,0,0,0
34,Michael Gallup,DAL,WR,64.2,942.3,5.9,0.6,0,0,0,0,0,0,0,0
35,Jerry Jeudy,DEN,WR,68.9,981.3,5.2,0.8,0,0,0,0,0,0,0,0
4,Jason Myers,SEA,K,0,0,0,0,0,0,0,0,0,0,0,0
5,Jason Sanders,MIA,K,0,0,0,0,0,0,0,0,0,0,0,0
6,Ryan Succop,TB,K,0,0,0,0,0,0,0,0,0,0,0,0
30,Leonard Fournette,TB,RB,28,191.3,0.8,1.2,164.3,673.4,6.2,0,0,0,0,0
7,Younghoe Koo,ATL,K,0,0,0,0,0,0,0,0,0,0,0,0
31,Zack Moss,BUF,RB,24.5,176.5,1.2,1.2,159.3,683.5,5.7,0,0,0,0,0
8,Rodrigo Blankenship,IND,K,0,0,0,0,0,0,0,0,0,0,0,0
36,Marquise Brown,BAL,WR,61.1,825.3,7,0.6,1.5,8,0,0,0,0,0,0
9,Mason Crosby,GB,K,0,0,0,0,0,0,0,0,0,0,0,0
10,Robbie Gould,SF,K,0,0,0,0,0,0,0,0,0,0,0,0
37,Tyler Boyd,CIN,WR,83,923.2,5.2,0.8,2.1,15.7,0,0,0,0,0,0
11,Matt Gay,LAR,K,0,0,0,0,0,0,0,0,0,0,0,0
38,Mike Williams,LAC,WR,56,915.7,5.5,0.6,0.3,0.5,0,0,0,0,0,0
12,Cody Parkey,CLE,K,0,0,0,0,0,0,0,0,0,0,0,0
13,Daniel Carlson,LV,K,0,0,0,0,0,0,0,0,0,0,0,0
32,Melvin Gordon III,DEN,RB,21.6,140.6,1,2.4,168.8,743.2,5.5,0,0,0,0,0
14,Matt Prater,ARI,K,0,0,0,0,0,0,0,0,0,0,0,0
15,Graham Gano,NYG,K,0,0,0,0,0,0,0,0,0,0,0,0
39,Laviska Shenault Jr.,JAC,WR,71.9,790.9,5,0.7,19.2,106.5,0.5,0,0,0,0,0
16,Michael Badgley,LAC,K,0,0,0,0,0,0,0,0,0,0,0,0
40,Jarvis Landry,CLE,WR,73.5,885,5.1,0.8,1.9,9.9,0.3,0,0,0,0,0
41,Curtis Samuel,WAS,WR,62.4,734.9,4.8,0.7,24.7,128.6,1.1,0,0,0,0,0
4,Kyle Pitts,ATL,TE,69.8,843.2,6.4,1.2,0,0,0,0,0,0,0,0
17,Sam Ficken,TEN,K,0,0,0,0,0,0,0,0,0,0,0,0
18,Tucker McCann,TEN,K,0,0,0,0,0,0,0,0,0,0,0,0
0,Tampa Bay Buccaneers,Tampa Bay Buccaneers,DST,0,0,0,0,0,0,0,0,0,0,0,0
33,Ronald Jones II,TB,RB,16,113.8,0.3,1.4,164.9,740.5,5.7,0,0,0,0,0
20,Greg Joseph,MIN,K,0,0,0,0,0,0,0,0,0,0,0,0
19,Cairo Santos,CHI,K,0,0,0,0,0,0,0,0,0,0,0,0
21,Nick Folk,NE,K,0,0,0,0,0,0,0,0,0,0,0,0
22,Brandon McManus,DEN,K,0,0,0,0,0,0,0,0,0,0,0,0
34,Trey Sermon,SF,RB,19.5,158.2,1,1.8,145,658.3,5.4,0,0,0,0,0
42,DeVonta Smith,PHI,WR,63.3,890,4.8,1.2,1,6.2,0,0,0,0,0,0
35,James Conner,ARI,RB,22.9,160.5,0.7,1.4,145.5,653,5.5,0,0,0,0,0
1,Pittsburgh Steelers,Pittsburgh Steelers,DST,0,0,0,0,0,0,0,0,0,0,0,0
23,Evan McPherson,CIN,K,0,0,0,0,0,0,0,0,0,0,0,0
24,Ka'imi Fairbairn,HOU,K,0,0,0,0,0,0,0,0,0,0,0,0
43,Will Fuller V,MIA,WR,66.5,848.4,5.3,0.6,0,0,0,0,0,0,0,0
44,DeVante Parker,MIA,WR,65.4,832.5,5.5,0.7,0,0,0,0,0,0,0,0
2,Los Angeles Rams,Los Angeles Rams,DST,0,0,0,0,0,0,0,0,0,0,0,0
34,Teddy Bridgewater,DEN,QB,0,0,0,0.7,24.9,108.7,1.5,235.2,153,1727.5,10.3,6.8
25,Chris Boswell,PIT,K,0,0,0,0,0,0,0,0,0,0,0,0
45,T.Y. Hilton,IND,WR,62.5,827.1,5.4,0.6,0,0,0,0,0,0,0,0
46,Michael Thomas,NO,WR,71.8,856.6,4.9,0.7,0.3,-0.8,0,0,0,0,0,0
5,T.J. Hockenson,DET,TE,75.4,835.7,5.2,0.8,0,0,0,0,0,0,0,0
47,Marvin Jones Jr.,JAC,WR,63,799.8,5.7,0.6,0.3,0,0,0,0,0,0,0
36,Gus Edwards,BAL,RB,10.7,91.4,0.3,1.3,152.1,738.8,5.1,0,0,0,0,0
26,Joey Slye,CAR,K,0,0,0,0,0,0,0,0,0,0,0,0
37,David Johnson,HOU,RB,34.4,308.2,2,0.9,118.3,495.3,3.7,0,0,0,0,0
38,Michael Carter,NYJ,RB,30.5,234.5,1.1,1.8,151.6,633.3,3.8,0,0,0,0,0
3,Washington Football Team,Washington Football Team,DST,0,0,0,0,0,0,0,0,0,0,0,0
27,Dustin Hopkins,WAS,K,0,0,0,0,0,0,0,0,0,0,0,0
4,Indianapolis Colts,Indianapolis Colts,DST,0,0,0,0,0,0,0,0,0,0,0,0
28,Randy Bullock,DET,K,0,0,0,0,0,0,0,0,0,0,0,0
39,Kenyan Drake,LV,RB,35.1,247.5,0.8,1.4,135.2,562.2,4.6,0,0,0,0,0
29,Josh Lambo,JAC,K,0,0,0,0,0,0,0,0,0,0,0,0
48,Corey Davis,NYJ,WR,67.3,873.5,3.8,0.8,0,0,0,0,0,0,0,0
5,Baltimore Ravens,Baltimore Ravens,DST,0,0,0,0,0,0,0,0,0,0,0,0
49,Mecole Hardman,KC,WR,52.4,732.1,5.5,1.7,6.4,43.8,0.1,0,0,0,0,0
6,Philadelphia Eagles,Philadelphia Eagles,DST,0,0,0,0,0,0,0,0,0,0,0,0
40,Jamaal Williams,DET,RB,35.5,240.9,1.2,1.2,139.9,574.5,3.5,0,0,0,0,0
7,Seattle Seahawks,Seattle Seahawks,DST,0,0,0,0,0,0,0,0,0,0,0,0
8,Buffalo Bills,Buffalo Bills,DST,0,0,0,0,0,0,0,0,0,0,0,0
41,AJ Dillon,GB,RB,15.2,116.8,0.5,1.4,141.8,646.4,4.8,0,0,0,0,0
9,New Orleans Saints,New Orleans Saints,DST,0,0,0,0,0,0,0,0,0,0,0,0
10,Arizona Cardinals,Arizona Cardinals,DST,0,0,0,0,0,0,0,0,0,0,0,0
11,New England Patriots,New England Patriots,DST,0,0,0,0,0,0,0,0,0,0,0,0
12,Miami Dolphins,Miami Dolphins,DST,0,0,0,0,0,0,0,0,0,0,0,0
13,Dallas Cowboys,Dallas Cowboys,DST,0,0,0,0,0,0,0,0,0,0,0,0
14,Kansas City Chiefs,Kansas City Chiefs,DST,0,0,0,0,0,0,0,0,0,0,0,0
15,Carolina Panthers,Carolina Panthers,DST,0,0,0,0,0,0,0,0,0,0,0,0
50,Antonio Brown,TB,WR,61.5,686.9,6,0.6,2,11.4,0,0,0,0,0,0
51,Darnell Mooney,CHI,WR,64.7,768.3,4.5,0.7,2.7,15.5,0,0,0,0,0,0
16,Green Bay Packers,Green Bay Packers,DST,0,0,0,0,0,0,0,0,0,0,0,0
17,Cleveland Browns,Cleveland Browns,DST,0,0,0,0,0,0,0,0,0,0,0,0
30,Austin Seibert,CIN,K,0,0,0,0,0,0,0,0,0,0,0,0
42,Latavius Murray,NO,RB,24.8,177.6,1,1.2,138,584.5,4,0,0,0,0,0
18,San Francisco 49ers,San Francisco 49ers,DST,0,0,0,0,0,0,0,0,0,0,0,0
52,Jaylen Waddle,MIA,WR,57.1,764.6,4.7,1.2,1,5.6,0,0,0,0,0,0
53,Breshad Perriman,DET,WR,53.3,774.9,4,0.1,1.7,9.9,0,0,0,0,0,0
54,Henry Ruggs III,LV,WR,49.2,758.7,4.1,1.7,7.6,42,0.1,0,0,0,0,0
19,Denver Broncos,Denver Broncos,DST,0,0,0,0,0,0,0,0,0,0,0,0
20,New York Giants,New York Giants,DST,0,0,0,0,0,0,0,0,0,0,0,0
55,Michael Pittman Jr.,IND,WR,57.7,753.2,4,0.7,3.4,22.7,0,0,0,0,0,0
31,Jake Elliott,PHI,K,0,0,0,0,0,0,0,0,0,0,0,0
56,Tyrell Williams,DET,WR,53.6,774.8,4,0.7,0,0,0,0,0,0,0,0
6,Robert Tonyan,GB,TE,55.6,609.2,6.4,0.1,0,0,0,0,0,0,0,0
57,Cole Beasley,BUF,WR,64,739,4.4,0.6,0,0,0,0,0,0,0,0
58,Emmanuel Sanders,BUF,WR,57.1,697.1,5,0.6,1.1,6.7,0.1,0,0,0,0,0
7,Tyler Higbee,LAR,TE,60.9,680.6,5.3,0.6,0,0,0,0,0,0,0,0
21,Los Angeles Chargers,Los Angeles Chargers,DST,0,0,0,0,0,0,0,0,0,0,0,0
43,Phillip Lindsay,HOU,RB,24.3,157,0.4,1.2,139,611.4,3.6,0,0,0,0,0
22,Atlanta Falcons,Atlanta Falcons,DST,0,0,0,0,0,0,0,0,0,0,0,0
59,Nelson Agholor,NE,WR,51.3,724.1,4.4,0.7,0.3,1.3,0,0,0,0,0,0
44,Devin Singletary,BUF,RB,30.7,215.9,1.2,1.3,120.7,536.4,2.9,0,0,0,0,0
8,Logan Thomas,WAS,TE,64.9,666.9,5.3,0.6,0,0,0,0,0,0,0,0
45,Tony Pollard,DAL,RB,30.6,225.1,1.3,1.2,110.7,494.9,3.2,0,0,0,0,0
60,Russell Gage,ATL,WR,66.6,724.5,4.1,0.6,1.3,6.1,0,0,0,0,0,0
61,Jalen Reagor,PHI,WR,53.8,724.1,3.8,0.7,3.1,17.5,0.1,0,0,0,0,0
23,Minnesota Vikings,Minnesota Vikings,DST,0,0,0,0,0,0,0,0,0,0,0,0
62,Tre'Quan Smith,NO,WR,44.4,633.4,5.3,0.1,0.3,0.5,0,0,0,0,0,0
9,Noah Fant,DEN,TE,62.2,692.3,4.5,0.7,0,0,0,0,0,0,0,0
10,Dallas Goedert,PHI,TE,61.7,679.7,4.7,0.7,0,0,0,0,0,0,0,0
24,Chicago Bears,Chicago Bears,DST,0,0,0,0,0,0,0,0,0,0,0,0
35,Mac Jones,NE,QB,0,0,0,1.2,18.6,68.8,0.9,217.8,136.5,1536,8.9,6.2
63,Elijah Moore,NYJ,WR,59.3,715.3,3.7,0.4,0.7,4.2,0,0,0,0,0,0
25,Tennessee Titans,Tennessee Titans,DST,0,0,0,0,0,0,0,0,0,0,0,0
64,Gabriel Davis,BUF,WR,42.7,630.5,5,0.1,0.3,0,0,0,0,0,0,0
11,Mike Gesicki,MIA,TE,55.3,618.6,5.3,0.7,0,0,0,0,0,0,0,0
26,New York Jets,New York Jets,DST,0,0,0,0,0,0,0,0,0,0,0,0
12,Irv Smith Jr.,MIN,TE,52.6,582.1,5.6,0.7,0,0,0,0,0,0,0,0
27,Jacksonville Jaguars,Jacksonville Jaguars,DST,0,0,0,0,0,0,0,0,0,0,0,0
28,Las Vegas Raiders,Las Vegas Raiders,DST,0,0,0,0,0,0,0,0,0,0,0,0
32,Matt Ammendola,NYJ,K,0,0,0,0,0,0,0,0,0,0,0,0
46,J.D. McKissic,WAS,RB,56.4,410.1,1.7,0.8,65.7,283.9,1.5,0,0,0,0,0
13,Jared Cook,LAC,TE,46,575.9,5.1,0.6,0,0,0,0,0,0,0,0
65,A.J. Green,ARI,WR,51.7,633.8,4.2,0.7,0,0,0,0,0,0,0,0
14,Rob Gronkowski,TB,TE,41.1,536.8,5.6,0.2,0,0,0,0,0,0,0,0
47,Tevin Coleman,NYJ,RB,17.9,136.2,0.3,1.2,133,515.1,3.6,0,0,0,0,0
48,Malcolm Brown,MIA,RB,17.1,114.5,0.4,0.8,118.5,469.7,4.6,0,0,0,0,0
66,Rondale Moore,ARI,WR,54.2,664.7,3.6,1.2,1.1,6.1,0,0,0,0,0,0
67,Sterling Shepard,NYG,WR,60.6,617.6,3.5,0.6,3.3,26.1,0.3,0,0,0,0,0
68,Randall Cobb,GB,WR,50.6,612.6,4.1,0.7,1.5,7.6,0,0,0,0,0,0
49,Nyheim Hines,IND,RB,49.9,371.5,2.2,1.2,60.4,261.2,1.9,0,0,0,0,0
50,James White,NE,RB,51.8,418.9,2.3,1.2,51.8,211.8,1.7,0,0,0,0,0
29,Detroit Lions,Detroit Lions,DST,0,0,0,0,0,0,0,0,0,0,0,0
